Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
97	8350.248	156.612	8556.563	8119.1846	7737.2764	1980.3429	8528.435	1802.1686	1000.0	1000.0	485000	665.2726	124.054	797.04913	-250.04839	665.2725	124.05578	797.173	-244.94067	-667.5759	59.16592	7600.277735948563
98	8360.632	83.33563	8446.003	8213.094	8645.3545	152.76564	8902.411	8424.765	1000.0	1000.0	490000	666.73755	123.56423	796.5139	-226.11906	666.7374	123.56487	795.0609	-234.90631	-668.7283	58.0244	7692.11142206192
99	8350.068	308.3806	8772.389	7885.58	8806.222	122.79659	8929.594	8591.03	1000.0	1000.0	495000	668.81714	122.27896	797.8218	-213.28575	668.8173	122.279686	798.79486	-213.38638	-671.0317	59.06853	7777.026499032974
100	8363.619	102.685135	8492.036	8215.12	8628.917	101.47677	8771.393	8425.5	1000.0	1000.0	500000	670.4975	121.72422	798.55707	-211.16803	670.49805	121.725266	797.53534	-206.49342	-672.87897	56.610283	7855.497704982758
101	8412.112	146.86499	8620.624	8190.7344	8635.008	159.13687	8827.315	8253.97	1000.0	1000.0	505000	671.83813	121.81089	800.452	-215.28586	671.8384	121.812645	799.1682	-207.892	-673.9332	57.9746	7932.10661315918
102	8294.22	344.77676	8665.246	7653.0996	8849.658	157.19653	9064.688	8585.404	1000.0	1000.0	510000	673.48175	121.459816	804.77856	-210.90135	673.482	121.45904	802.6554	-219.70245	-675.74536	58.257187	8012.773645877838
103	8490.866	128.27138	8666.234	8297.334	8614.729	177.0688	8854.102	8313.069	1000.0	1000.0	515000	675.1833	121.2484	804.7531	-217.50146	675.1837	121.249794	802.18585	-214.0139	-677.317	61.12724	8099.585426092148
104	8417.657	145.42375	8610.017	8230.87	9070.619	108.46219	9208.733	8890.8125	1000.0	1000.0	520000	677.483	119.44418	806.5792	-218.66476	677.4834	119.44521	804.7581	-205.02457	-679.7456	60.595974	8187.620141983032
105	8669.252	118.49082	8855.274	8561.263	8886.528	194.84111	9322.381	8630.716	1000.0	1000.0	525000	679.2445	118.75716	806.5899	-214.58192	679.2451	118.75757	808.8185	-226.95651	-681.306	59.63384	8270.276098012924
106	8411.529	84.810326	8521.47	8294.244	8896.713	93.075745	9040.674	8711.127	1000.0	1000.0	530000	680.65576	118.42955	804.67944	-217.78368	680.6559	118.43176	807.22546	-223.64655	-682.7639	57.97125	8348.384284973145
107	8386.708	465.23022	8898.9	7612.3677	8947.132	171.69748	9209.156	8729.519	1000.0	1000.0	535000	682.20624	118.43531	808.39	-225.27666	682.20667	118.43421	805.78705	-225.42844	-684.6139	57.47835	8422.517788887024
108	8536.678	107.713646	8720.72	8383.468	9047.079	126.52048	9318.015	8813.259	1000.0	1000.0	540000	683.3989	119.15795	808.8749	-264.22214	683.3988	119.16102	808.7029	-225.5639	-685.54395	59.499836	8505.253648042679
